dhid,from,to,lenth,seam,seam_yuan,mt,mad,ad,vdaf,qbd,qbdaf,qgrad,qgrd,qnetad,qnetd,qnetar,st,std,ssd,spd,sod,refer
EX_113,131.300,132.450,1.150,,,,5.300,27.880,37.190,,,,,,,,,,,,,hei
EX_113,132.800,133.980,1.180,,,,4.480,24.970,41.760,,,,,,,,,,,,,hei
EX_113,137.840,138.900,1.060,,,,5.140,23.150,36.570,,,,,,,,,,,,,hei
EX_113,138.900,140.030,1.130,,,,4.840,17.410,36.050,,,,,,,,,,,,,hei
EX_113,140.030,141.220,1.190,,,,3.590,35.580,34.360,,,,,,,,,,,,,hei
EX_113,141.900,142.750,0.850,,,,4.290,30.900,30.330,,,,,,,,,,,,,hei
EX_113,142.750,143.790,1.040,,,,3.770,30.410,31.950,,,,,,,,,,,,,hei
EX_113,143.790,144.620,0.830,,,,3.970,39.380,32.780,,,,,,,,,,,,,hei
EX_113,144.620,145.540,0.920,,,,3.620,38.920,35.320,,,,,,,,,,,,,hei
EX_113,145.540,146.270,0.730,,,,3.970,34.600,33.330,,,,,,,,,,,,,hei
EX_113,146.270,147.170,0.900,,,,4.650,27.410,31.740,,,,,,,,,,,,,hei
EX_113,147.170,148.170,1.000,,,,4.710,17.840,36.520,,,,,,,,,,,,,hei
EX_113,148.170,149.890,1.720,,,,3.810,17.010,32.670,,,,,,,,,,,,,hei
EX_113,150.400,150.640,0.240,,,,3.700,14.160,38.650,,,,,,,,,,,,,hei
EX_113,151.200,152.550,1.350,,,,4.590,19.910,37.340,,,,,,,,,,,,,hei
EX_113,152.940,153.670,0.730,,,,3.490,19.360,39.560,,,,,,,,,,,,,hei
EX_113,153.760,154.690,0.930,,,,4.090,16.880,35.570,,,,,,,,,,,,,hei
EX_113,154.690,155.750,1.060,,,,3.770,18.090,36.270,,,,,,,,,,,,,hei
EX_113,155.900,156.700,0.800,,,,3.310,13.660,34.620,,,,,,,,,,,,,hei
EX_113,156.750,157.770,1.020,,,,4.220,13.060,32.690,,,,,,,,,,,,,hei
EX_113,157.830,158.720,0.890,,,,3.280,14.190,32.340,,,,,,,,,,,,,hei
EX_113,158.800,159.850,1.050,,,,4.090,13.210,37.750,,,,,,,,,,,,,hei
EX_113,159.880,160.670,0.790,,,,3.920,13.930,37.560,,,,,,,,,,,,,hei
EX_113,160.700,161.750,1.050,,,,4.130,10.170,33.550,,,,,,,,,,,,,hei
EX_113,161.860,163.380,1.520,,,,3.700,10.390,35.350,,,,,,,,,,,,,hei
EX_113,163.970,165.320,1.350,,,,3.190,7.400,36.060,,,,,,,,,,,,,hei
EX_113,165.450,166.370,0.920,,,,2.710,12.590,36.260,,,,,,,,,,,,,hei
EX_113,166.370,167.210,0.840,,,,2.690,20.640,33.820,,,,,,,,,,,,,hei
EX_113,167.260,168.120,0.860,,,,2.760,9.680,34.210,,,,,,,,,,,,,hei
EX_113,168.780,169.790,1.010,,,,3.360,43.040,34.500,,,,,,,,,,,,,hei
EX_113,169.790,170.630,0.840,,,,2.920,20.050,32.200,,,,,,,,,,,,,hei
EX_113,170.930,172.740,1.810,,,,3.290,31.770,38.900,,,,,,,,,,,,,hei
