dhid,east,north,el,totald,refer
EX_1013,523159.970,4406459.731,1252.660,500.000,hei
EX_1014,523416.041,4406200.898,1279.790,500.000,hei
EX_1015,523659.203,4405977.796,1292.360,500.000,hei
EX_1016,523897.744,4405724.354,1264.130,500.000,hei
EX_1017,524053.125,4405586.243,1252.390,500.000,hei
EX_1018,522985.798,4406407.960,1240.080,500.000,hei
EX_1019,523178.159,4406208.029,1271.760,500.000,hei
EX_1020,523426.901,4405971.277,1299.470,500.000,hei
EX_1021,523667.833,4405724.094,1280.050,500.000,hei
EX_1022,523792.323,4405596.143,1256.890,500.000,hei
EX_1025,523459.881,4405712.585,1289.730,500.000,hei
EX_1026,523744.503,4405433.722,1275.990,500.000,hei
EX_1030,523446.030,4405480.773,1268.010,500.000,hei
EX_1033,523250.249,4405425.193,1259.340,500.000,hei
EX_1036,523011.737,4405413.073,1275.270,500.000,hei
EX_1041,523018.187,4405157.511,1247.560,500.000,hei
EX_1044,522584.183,4405101.051,1255.060,500.000,hei
EX_1045,522806.045,4404888.939,1235.660,500.000,hei
EX_1048,522573.233,4404865.869,1252.340,500.000,hei
EX_1083,521428.283,4403814.713,1253.620,500.000,hei
EX_1086,521040.760,4403936.354,1259.150,500.000,hei
EX_1087,521281.031,4403706.402,1240.140,500.000,hei
EX_1088,520567.807,4404155.596,1262.900,500.000,hei
EX_1089,520988.879,4403717.502,1235.880,500.000,hei
EX_1090,521107.750,4403631.042,1226.760,500.000,hei
EX_1091,521237.271,4403499.181,1257.190,500.000,hei
EX_1093,520594.406,4403890.114,1262.330,500.000,hei
EX_1094,520824.968,4403662.762,1270.390,500.000,hei
EX_1095,521062.689,4403425.850,1224.850,500.000,hei
EX_1096,521213.070,4403280.379,1240.210,500.000,hei
EX_1097,520315.834,4403910.065,1248.730,500.000,hei
EX_1098,520622.126,4403605.472,1251.170,500.000,hei
EX_1099,520751.107,4403472.771,1245.980,500.000,hei
EX_1100,520898.108,4403324.720,1218.990,500.000,hei
EX_1101,521036.849,4403201.929,1212.970,500.000,hei
EX_1102,520159.533,4403825.854,1214.910,500.000,hei
EX_1103,520264.834,4403725.273,1229.070,500.000,hei
