dhid,from,to,length,seam,seam_yuan,lith,seam_i,old_s,refer
EX_1013,0.000,77.930,,,,,,,hei_expl
EX_1013,77.930,78.850,0.920,62,62,coal_fh,,,hei_expl
EX_1013,78.850,80.400,1.550,63,63,coal,6_normal_c,6coal,hei_expl
EX_1013,80.400,81.600,1.200,64,64,rock,,rock,hei_expl
EX_1013,81.600,84.520,2.920,64,64,coal,6_normal_c,6coal,hei_expl
EX_1013,84.520,84.570,0.050,64,64,rock,,rock,hei_expl
EX_1013,84.570,84.820,0.250,64,64,coal,6_normal_c,6coal,hei_expl
EX_1013,84.820,84.870,0.050,64,64,rock,,rock,hei_expl
EX_1013,84.870,88.440,3.570,64,64,coal,6_normal_c,6coal,hei_expl
EX_1013,88.440,88.540,0.100,64,64,rock,,rock,hei_expl
EX_1013,88.540,92.660,4.120,64,64,coal,6_normal_c,6coal,hei_expl
EX_1013,92.660,92.910,0.250,64,64,rock,,rock,hei_expl
EX_1013,92.910,95.820,2.910,64,64,coal,6_normal_c,6coal,hei_expl
EX_1013,95.820,95.920,0.100,64,64,rock,,rock,hei_expl
EX_1013,95.920,96.920,1.000,64,64,coal,6_normal_c,6coal,hei_expl
EX_1013,96.920,97.120,0.200,65,65,rock,,rock,hei_expl
EX_1013,97.120,97.170,0.050,65,65,coal,6_low_normal_c,6coal_lower,hei_expl
EX_1013,97.170,97.470,0.300,65,65,coal_gh,6_low_highash_c,6coal_lower,hei_expl
EX_1013,97.470,97.570,0.100,65,65,rock,,rock,hei_expl
EX_1013,97.570,98.690,1.120,65,65,coal_gh,6_low_highash_c,6coal_lower,hei_expl
EX_1013,98.690,99.240,0.550,65,65,coal,6_low_normal_c,6coal_lower,hei_expl
EX_1013,99.240,99.290,0.050,65,65,rock,,rock,hei_expl
EX_1013,99.290,100.170,0.880,65,65,coal,6_low_normal_c,6coal_lower,hei_expl
EX_1013,100.170,100.190,0.020,66,66,rock,,rock,hei_expl
EX_1013,100.190,103.310,3.120,66,66,coal,6_low_normal_c,6coal_lower,hei_expl
EX_1013,103.310,107.390,4.080,,,rock,,,hei_expl
EX_1013,107.390,107.790,0.400,8,8,coal,,,hei_expl
EX_1013,107.790,108.780,0.990,8,8,rock,,,hei_expl
