dhid,depth,azimth,dip
EX_1013,0.000,0.000,-90.000
EX_1014,0.000,0.000,-90.000
EX_1015,0.000,0.000,-90.000
EX_1016,0.000,0.000,-90.000
EX_1017,0.000,0.000,-90.000
EX_1018,0.000,0.000,-90.000
EX_1019,0.000,0.000,-90.000
EX_1020,0.000,0.000,-90.000
EX_1021,0.000,0.000,-90.000
EX_1022,0.000,0.000,-90.000
EX_1025,0.000,0.000,-90.000
EX_1026,0.000,0.000,-90.000
EX_1030,0.000,0.000,-90.000
EX_1033,0.000,0.000,-90.000
EX_1036,0.000,0.000,-90.000
EX_1041,0.000,0.000,-90.000
EX_1044,0.000,0.000,-90.000
EX_1045,0.000,0.000,-90.000
EX_1048,0.000,0.000,-90.000
EX_1083,0.000,0.000,-90.000
EX_1086,0.000,0.000,-90.000
EX_1087,0.000,0.000,-90.000
EX_1088,0.000,0.000,-90.000
EX_1089,0.000,0.000,-90.000
EX_1090,0.000,0.000,-90.000
EX_1091,0.000,0.000,-90.000
EX_1093,0.000,0.000,-90.000
EX_1094,0.000,0.000,-90.000
EX_1095,0.000,0.000,-90.000
EX_1096,0.000,0.000,-90.000
EX_1097,0.000,0.000,-90.000
EX_1098,0.000,0.000,-90.000
EX_1099,0.000,0.000,-90.000
EX_1100,0.000,0.000,-90.000
EX_1101,0.000,0.000,-90.000
EX_1102,0.000,0.000,-90.000
EX_1103,0.000,0.000,-90.000
EX_1104,0.000,0.000,-90.000
EX_1105,0.000,0.000,-90.000
EX_1106,0.000,0.000,-90.000
EX_111,0.000,0.000,-90.000
EX_1112,0.000,0.000,-90.000
EX_1113,0.000,0.000,-90.000
EX_1114,0.000,0.000,-90.000
EX_1125,0.000,0.000,-90.000
EX_113,0.000,0.000,-90.000
EX_114,0.000,0.000,-90.000
EX_1145,0.000,0.000,-90.000
EX_1146,0.000,0.000,-90.000
EX_1148,0.000,0.000,-90.000
EX_1149,0.000,0.000,-90.000
EX_115,0.000,0.000,-90.000
EX_1150,0.000,0.000,-90.000
EX_1151,0.000,0.000,-90.000
